sample_id	status	cluster
donor1	active	1
donor2	active	1
donor3	active	1
donor4	active	1
donor5	active	1
donor6	active	1
donor7	active	1
donor8	active	1
donor9	active	1
donor10	active	1
donor11	active	1
donor12	active	1
donor13	active	2
donor14	active	1
donor15	active	1
donor16	active	1
donor17	active	1
donor18	stable	2
donor19	stable	2
donor20	stable	2
donor21	stable	2
donor22	stable	2
donor23	stable	2
donor24	stable	2
donor25	stable	2
donor26	stable	2
donor27	stable	2
donor28	stable	2
donor29	stable	2
donor30	stable	2
donor31	stable	2
donor32	stable	2
donor33	stable	2
donor34	stable	2
donor35	stable	2
