sample_id	status	cluster	distance_to_active_centroid	distance_to_stable_centroid	separation_score
donor1	active	1	3.84655943046664	4.36650980188264	0.519950371415999
donor2	active	1	8.58689505353953	10.5523227866244	1.9654277330849
donor3	active	1	3.59089086658986	6.59170915633043	3.00081828974056
donor4	active	1	3.3542940307542	3.57699262219039	0.222698591436187
donor5	active	1	3.54863932087125	4.1273656506	0.578726329728749
donor6	active	1	3.97578084977387	3.26553464259408	-0.710246207179787
donor7	active	1	5.89216287731587	7.49840325591986	1.60624037860399
donor8	active	1	4.39804141163294	4.65564284350589	0.257601431872953
donor9	active	1	3.83945356143708	6.06923485857308	2.229781297136
donor10	active	1	4.06309175839712	3.85198624374998	-0.211105514647139
donor11	active	1	2.83030771413659	5.41990241746788	2.58959470333129
donor12	active	1	4.06328214186096	5.52734737212626	1.4640652302653
donor13	active	2	4.07087474340226	2.45773379597736	-1.6131409474249
donor14	active	1	7.91431541145918	10.2963008407373	2.38198542927808
donor15	active	1	3.27295009603798	5.56667767557946	2.29372757954148
donor16	active	1	5.3575927982517	6.69907030338566	1.34147750513396
donor17	active	1	4.30457564827547	6.18382991457231	1.87925426629684
donor18	stable	2	7.64046771653124	5.25664592014577	-2.38382179638546
donor19	stable	2	7.81107050064623	5.91418859693803	-1.8968819037082
donor20	stable	2	4.31755980218059	2.09669824407375	-2.22086155810684
donor21	stable	2	5.94702082318459	3.14145636874956	-2.80556445443503
donor22	stable	2	3.87793534501893	2.60565984510189	-1.27227549991705
donor23	stable	2	5.37228648517007	3.23956117359558	-2.13272531157449
donor24	stable	2	4.2400338787305	2.25630805170951	-1.983725827021
donor25	stable	2	5.38974179228667	2.24755166971512	-3.14219012257155
donor26	stable	2	4.23588411334167	3.01111271323606	-1.22477140010561
donor27	stable	2	5.38171693047631	2.15796674760372	-3.22375018287259
donor28	stable	2	3.87526498310407	4.00675916243355	0.131494179329486
donor29	stable	2	5.39274225820432	3.63411187536451	-1.75863038283982
donor30	stable	2	4.59704959935582	1.42879175310414	-3.16825784625168
donor31	stable	2	4.80766935636174	1.68672542750707	-3.12094392885467
donor32	stable	2	6.06693436188774	4.95230461621268	-1.11462974567506
donor33	stable	2	3.91625212946268	3.10614259190675	-0.810109537555922
donor34	stable	2	4.14044118517374	1.98801547017567	-2.15242571499807
donor35	stable	2	4.45445132356254	3.01732433174217	-1.43712699182038
