	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25	feature26	feature27	feature28	feature29	feature30	feature31	feature32	feature33	feature34	feature35	feature36	feature37	feature38	feature39	feature40	feature41	feature42	feature43	feature44	feature45	feature46	feature47
donor1	11.2	0.0920392281057903	5.35	0.00791423181337137	0.0843359903354019	0.608299074686925	0.926	0.0103700972484675	0.866156611513112	0	0.89	0.000818775878240772	0.222116276538962	74754	669	52510	53211	1348544	1053	1079989	0.837	0.0020860348424198	0.10012967243615	0.865441356110579	0.505735	23.95509	4.681178	256.60791	9.133414	0	342.933899	2.676483	0.430659	587.339172	0.136932	59.109173	127.1315	2.527463	0.655505	0.701795	8.305929	0.18474	787.560852	0	1.676682	0	4.238106
donor2	45.42	0.360581485898529	11.53	0.00787421195584461	0.0417097347424164	0.910063373169421	0.982	0.00108966376089664	0.206491282689913	0.720812577833126	0.979	0.000489275871709869	0.0636557894316412	8878	94	8115	548	297538	321	181894	0.699	0.222627737226277	0	0	2.993534	85.542297	55.022957	1942.317505	75.169624	55.411327	1341.669067	21.964262	19.999535	2551.089111	0.03441	252.464645	1852.111816	26.705673	2.56109	34.440594	70.001518	1.01813	6894.92334	59.933102	41.2192	0.138299	160.229614
donor3	24.02	0.12642462376519	12.77	0.0226392889219239	0.390983873837747	0.208489306083998	0.911	0.000877706260971328	0.240663021327253	0.726054760799822	0.86	9.93503767302189e-05	0.108035522566957	92113	1247	193303	70928	796575	1577	1226330	0.815	0.00159316489961651	0.0768807805098128	0.899884389803745	14.524447	39.081589	23.58865	1097.633667	31.597364	16.245234	1444.033203	2.237679	3.835351	3495.18457	0.119884	500.807007	685.02063	5.860704	2.608987	55.688541	28.224094	0.824043	2213.663086	45.80949	30.977242	0.954573	13.665231
donor4	26.39	0.0755500144769082	10.57	0.0169739894981072	0.0475714702104769	0.885781467762731	0.964	0.00580880181155853	0.913261789898592	0	0.949	0.00229669719678046	0.142728281987233	19068	1301	123051	8864	337731	2908	1395757	0.894	0.00462545126353791	0.940884476534296	0	1.710277	11.071134	3.260413	832.295166	19.588263	3.535744	1542.295288	8.408015	0.461455	1458.093506	0.54326	120.386459	593.342346	10.504529	0.183975	61.499809	28.089266	1.239172	3461.489258	114.998833	4.557827	0.153189	0.755193
donor5	54.35	0.0477961193054714	15.55	0.00746767045109587	0.0569925716386694	0.93833439094656	0.976	0.00369506028782575	0.889666796317905	0	0.961	0.00191779148598302	0.130434251511635	15873	862	97416	37709	348426	1929	1310650	0.935	0.00193587737675356	0.0635922458829457	0.917950621867459	1.42554	18.01125	1.808669	1178.730225	2.165916	4.71044	665.343872	3.459781	2.762628	2763.255127	0.101188	114.588264	2790.352295	23.140341	0.574041	11.68997	15.376916	0.371	10078.719727	4.253263	14.542846	0.930783	5.372685
donor6	34.35	0.0943581369030992	6.77	0.286516853932584	0.0732760868193057	0.778409136365455	0.944	0.00716380595220924	0.880619260541372	0	0.91	0.00102028745490034	0.112261193588454	31864	275	62622	23988	578538	1221	1381243	0.927	0.00541937635484409	0.101258962814741	0.884608971152243	0.168842	40.479858	18.562796	153.977448	0	0	1.554781	0	0	339.143311	0.122877	25.375225	147.363785	0	0.197436	0.637391	0	0.335933	481.373535	0	0.837083	0	0
donor7	40.04	0.164782177124125	20.04	0.00505948311226583	0.0540031541809156	0.927887336907748	0.965	0.00420891524775206	0.764874689114215	0	0.964	0.00174886323889472	0.119424547956872	25027	905	68966	31070	636661	2712	1056162	0.958	0.00267138719021564	0.0580946250402317	0.926971355004828	3.259336	14.521411	0.226497	1766.93103	13.28252	27.52985	1230.228027	2.435502	3.004683	4627.46582	0.648933	178.610733	5555.765625	56.804981	2.14456	22.977396	29.134974	1.762895	16479.707031	20.442919	47.938496	0.470314	20.040754
donor8	7.9	0.0490922094555043	2.87	0.0152122804591343	0.0768701678711305	0.906126272274753	0.972	0.00198027971450967	0.192953504682536	0.721564420974463	0.947	0.000799041150619257	0.112082450212288	24478	3374	105549	28416	534910	25624	2337855	0.963	0.00158361486486486	0.0413147522522523	0.945910754504504	0.127512	18.455729	0.339208	97.519196	0	0.111565	162.388824	0	0.039834	517.541748	0.087699	38.629536	9.072074	0.292228	0.141754	3.93791	0.472732	0.16332	176.29303	9.68169	1.895965	0.011145	0.863103
donor9	38.46	0.298896306856028	20.95	0.00977687140115163	0.0735172858327398	0.658017869670844	0.964	0.00506550218340611	0.322882096069869	0.652248908296943	0.909	0.00124216117504739	0.145073301414117	63234	1209	137160	34355	892417	3683	1566925	0.912	0.00273613738902634	0.101819240285257	0.881181778489303	2.67423	18.875326	3.969787	1266.890503	63.156727	21.036314	1327.275146	2.454006	0.302264	985.433655	0.135106	154.861923	1227.210083	10.983676	1.229608	4.862867	33.383289	1.460161	6337.353027	36.974564	50.914852	0.286729	35.386772
donor10	7.86	0.0598093371680324	12.15	0.0125958378970427	0.0282760590508116	0.894054395951929	0.877	0.0802292263610315	0	0	0.972	0.00161744610836889	0.228366658300566	5576	22	4591	1550	1283647	81	286462	0.631	0.0935483870967742	0	0	2.70376	5.559968	1.166673	275.870392	8.223476	4.636006	291.348206	2.521637	2.283986	880.284546	0.25215	182.94014	308.200317	2.513719	0.11495	18.424097	20.912691	0.45327	1296.696899	14.850422	5.953206	0.494042	12.994175
donor11	10.05	0.124837706564441	6.67	0.0243428306156792	0.315220932040968	0.534101110266192	0.933	0.00021385582044258	0.175911687729768	0.776775257899936	0.884	0.000101452875139498	0.0817255384873726	84466	700	186868	53455	904579	973	1688309	0.842	0.00217004957440838	0.0795061266485829	0.892470302123281	1.413803	10.156632	2.681098	729.836182	24.605877	1.053976	1525.478027	0	1.902678	1158.913208	0.234632	174.642273	790.111694	13.686069	1.690874	2.292988	27.664099	1.128438	1928.227539	9.748871	52.837357	0.62786	17.190863
